Name ,Beds,Bath,sq feet,Image Url
Firefly,3,2,1153,https://www.championhomes.com/models/firefly
Embrace Simplicity,3,2,1153,https://www.championhomes.com/models/embrace-simplicity
Sierra,3,2,1152,https://www.championhomes.com/models/sierra
Prime Somerset 043,3,2,1152,https://www.championhomes.com/models/prime-somerset-043
Signature 3523B,3,2,1144,https://www.championhomes.com/models/signature-3523b
Home Run 2844402,3,2,1144,https://www.championhomes.com/models/home-run-2844402
Eva ,3,2,1140,https://www.championhomes.com/models/eva
Pip,3,2,1140,https://www.championhomes.com/models/pip
Hudson by Regional Homes,3,2,1140,https://www.championhomes.com/models/hudson-by-regional-homes
Grand Slam 1676401,3,2,1127,https://www.championhomes.com/models/grand-slam-1676401
Grand Slam 1676406,3,2,1127,https://www.championhomes.com/models/grand-slam-1676406
Home Run 1676257,3,2,1127,https://www.championhomes.com/models/home-run-1676257
Legend 1676496,3,2,1127,https://www.championhomes.com/models/legend-1676496
The Murphy,3,2,1127,https://www.championhomes.com/models/the-murphy
Icon 1676,3,2,1127,https://www.championhomes.com/models/icon-1676
Home Run 1676511,3,2,1127,https://www.championhomes.com/models/home-run-1676511
Waycross Express 1676531,3,2,1127,https://www.championhomes.com/models/waycross-express-1676531
Prime 2448H32P02,3,2,1120,https://www.championhomes.com/models/prime-2448H32P02
Prime Bardstown 043,3,2,1092,https://www.championhomes.com/models/prime-bardstown-043
Winter Special,3,2,1092,https://www.championhomes.com/models/winter-special
Prime Ballard 043,3,2,1092,https://www.championhomes.com/models/prime-ballard-043
Hodges,3,2,1080,https://www.championhomes.com/models/hodges
Lake Manor 2840H32P01,3,2,1064,https://www.championhomes.com/models/lake-manor-2840H32P01
Silver Springs 4893,2,2,1054,https://www.championhomes.com/models/silver-springs-4893
Champion Community 2844444,2,2,1040,https://www.championhomes.com/models/champion-community-2844444
RH26282A,2,2,1031,https://www.championhomes.com/models/rh2682a
RH2683B,3,2,1031,https://www.championhomes.com/models/rh2683b
Ace 2.0,2,2,1020,https://www.championhomes.com/models/ace-2-0
Lake Manor 2846H22140,2,2,1013,https://www.championhomes.com/models/lake-manor-2846H22140
HC4522B,2,2,1013,https://www.championhomes.com/models/hc4522B
Vertex 261,3,2,1001,https://www.championhomes.com/models/prime-vertex-043
Prime Hickman 043,3,2,1001,https://www.championhomes.com/models/prime-hickman-043
Lake Manor 1666H32P01,3,2,997,https://www.championhomes.com/models/lake-manor-1666H32P01
Champion Community 2444437,2,2,990,https://www.championhomes.com/models/champion-community-2444437
Henson,3,2,988,https://www.championhomes.com/models/henson
Grand Slam 1666323,3,2,979,https://www.championhomes.com/models/grand-slam-1666323
Grand Slam 1666354,2,2,979,https://www.championhomes.com/models/grand-slam-1666354
Champion Community 2836447,2,2,936,https://www.championhomes.com/models/champion-community-2836447
Silver Springs 5011,2,2,933,https://www.championhomes.com/models/silver-springs-5011
Lake Manor 2440H22036,2,2,932,https://www.championhomes.com/models/lake-manor-2440H22036
Prime Spire 043,2,2,910,https://www.championhomes.com/models/prime-spire-043
Legend 1660390,2,2,890,https://www.championhomes.com/models/legend-1660390
Home Run 1660304,3,2,890,https://www.championhomes.com/models/home-run-1660304
Legend 1660522,2,2,889,https://www.championhomes.com/models/legend-1660522
Zenith 261,3,2,880,https://www.championhomes.com/models/zenith-261
Prime Zenith 043,3,2,880,https://www.championhomes.com/models/prime-zenith-043
Silver Springs 4800,2,2,864,https://www.championhomes.com/models/silver-springs-4800
